"VariableName","Value","ValueLabel"
"State abbreviation (HD2014)","AL","Alabama"
"State abbreviation (HD2014)","AZ","Arizona"
"State abbreviation (HD2014)","AR","Arkansas"
"State abbreviation (HD2014)","CA","California"
"State abbreviation (HD2014)","CO","Colorado"
"State abbreviation (HD2014)","CT","Connecticut"
"State abbreviation (HD2014)","FL","Florida"
"State abbreviation (HD2014)","GA","Georgia"
"State abbreviation (HD2014)","ID","Idaho"
"State abbreviation (HD2014)","IL","Illinois"
"State abbreviation (HD2014)","IN","Indiana"
"State abbreviation (HD2014)","IA","Iowa"
"State abbreviation (HD2014)","KS","Kansas"
"State abbreviation (HD2014)","KY","Kentucky"
"State abbreviation (HD2014)","LA","Louisiana"
"State abbreviation (HD2014)","MD","Maryland"
"State abbreviation (HD2014)","MA","Massachusetts"
"State abbreviation (HD2014)","MI","Michigan"
"State abbreviation (HD2014)","MN","Minnesota"
"State abbreviation (HD2014)","MS","Mississippi"
"State abbreviation (HD2014)","MO","Missouri"
"State abbreviation (HD2014)","NE","Nebraska"
"State abbreviation (HD2014)","NV","Nevada"
"State abbreviation (HD2014)","NH","New Hampshire"
"State abbreviation (HD2014)","NJ","New Jersey"
"State abbreviation (HD2014)","NM","New Mexico"
"State abbreviation (HD2014)","NY","New York"
"State abbreviation (HD2014)","NC","North Carolina"
"State abbreviation (HD2014)","ND","North Dakota"
"State abbreviation (HD2014)","OH","Ohio"
"State abbreviation (HD2014)","OK","Oklahoma"
"State abbreviation (HD2014)","OR","Oregon"
"State abbreviation (HD2014)","PA","Pennsylvania"
"State abbreviation (HD2014)","SC","South Carolina"
"State abbreviation (HD2014)","SD","South Dakota"
"State abbreviation (HD2014)","TN","Tennessee"
"State abbreviation (HD2014)","TX","Texas"
"State abbreviation (HD2014)","UT","Utah"
"State abbreviation (HD2014)","VA","Virginia"
"State abbreviation (HD2014)","WA","Washington"
"State abbreviation (HD2014)","WV","West Virginia"
"State abbreviation (HD2014)","WI","Wisconsin"
"State abbreviation (HD2014)","WY","Wyoming"
"FIPS state code (HD2014)","1","Alabama"
"FIPS state code (HD2014)","4","Arizona"
"FIPS state code (HD2014)","5","Arkansas"
"FIPS state code (HD2014)","6","California"
"FIPS state code (HD2014)","8","Colorado"
"FIPS state code (HD2014)","9","Connecticut"
"FIPS state code (HD2014)","12","Florida"
"FIPS state code (HD2014)","13","Georgia"
"FIPS state code (HD2014)","16","Idaho"
"FIPS state code (HD2014)","17","Illinois"
"FIPS state code (HD2014)","18","Indiana"
"FIPS state code (HD2014)","19","Iowa"
"FIPS state code (HD2014)","20","Kansas"
"FIPS state code (HD2014)","21","Kentucky"
"FIPS state code (HD2014)","22","Louisiana"
"FIPS state code (HD2014)","24","Maryland"
"FIPS state code (HD2014)","25","Massachusetts"
"FIPS state code (HD2014)","26","Michigan"
"FIPS state code (HD2014)","27","Minnesota"
"FIPS state code (HD2014)","28","Mississippi"
"FIPS state code (HD2014)","29","Missouri"
"FIPS state code (HD2014)","31","Nebraska"
"FIPS state code (HD2014)","32","Nevada"
"FIPS state code (HD2014)","33","New Hampshire"
"FIPS state code (HD2014)","34","New Jersey"
"FIPS state code (HD2014)","35","New Mexico"
"FIPS state code (HD2014)","36","New York"
"FIPS state code (HD2014)","37","North Carolina"
"FIPS state code (HD2014)","38","North Dakota"
"FIPS state code (HD2014)","39","Ohio"
"FIPS state code (HD2014)","40","Oklahoma"
"FIPS state code (HD2014)","41","Oregon"
"FIPS state code (HD2014)","42","Pennsylvania"
"FIPS state code (HD2014)","45","South Carolina"
"FIPS state code (HD2014)","46","South Dakota"
"FIPS state code (HD2014)","47","Tennessee"
"FIPS state code (HD2014)","48","Texas"
"FIPS state code (HD2014)","49","Utah"
"FIPS state code (HD2014)","51","Virginia"
"FIPS state code (HD2014)","53","Washington"
"FIPS state code (HD2014)","54","West Virginia"
"FIPS state code (HD2014)","55","Wisconsin"
"FIPS state code (HD2014)","56","Wyoming"
"Sector of institution (HD2014)","1","Public, 4-year or above"
"Sector of institution (HD2014)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2014)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2014)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2014)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2014)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2014)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2014)","140","Central Intercollegiate Athletic Assoc"
"NCAA/NAIA conference number football (IC2014)","355","Central States Football League"
"NCAA/NAIA conference number football (IC2014)","111","Conference USA"
"NCAA/NAIA conference number football (IC2014)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2014)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2014)","172","Empire Eight"
"NCAA/NAIA conference number football (IC2014)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2014)","144","Great Lakes Intercollegiate Ath Conf"
"NCAA/NAIA conference number football (IC2014)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2014)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","337","Gulf Coast Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2014)","308","Independent Great Lakes Region"
"NCAA/NAIA conference number football (IC2014)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2014)","148","Mid-America Intercollegiate Ath Assoc"
