"VariableName","Value","ValueLabel"
"State abbreviation (HD2012)","AL","Alabama"
"State abbreviation (HD2012)","AZ","Arizona"
"State abbreviation (HD2012)","AR","Arkansas"
"State abbreviation (HD2012)","CA","California"
"State abbreviation (HD2012)","CO","Colorado"
"State abbreviation (HD2012)","CT","Connecticut"
"State abbreviation (HD2012)","FL","Florida"
"State abbreviation (HD2012)","GA","Georgia"
"State abbreviation (HD2012)","ID","Idaho"
"State abbreviation (HD2012)","IL","Illinois"
"State abbreviation (HD2012)","IN","Indiana"
"State abbreviation (HD2012)","IA","Iowa"
"State abbreviation (HD2012)","KS","Kansas"
"State abbreviation (HD2012)","KY","Kentucky"
"State abbreviation (HD2012)","LA","Louisiana"
"State abbreviation (HD2012)","MD","Maryland"
"State abbreviation (HD2012)","MA","Massachusetts"
"State abbreviation (HD2012)","MI","Michigan"
"State abbreviation (HD2012)","MN","Minnesota"
"State abbreviation (HD2012)","MS","Mississippi"
"State abbreviation (HD2012)","MO","Missouri"
"State abbreviation (HD2012)","NE","Nebraska"
"State abbreviation (HD2012)","NV","Nevada"
"State abbreviation (HD2012)","NH","New Hampshire"
"State abbreviation (HD2012)","NJ","New Jersey"
"State abbreviation (HD2012)","NM","New Mexico"
"State abbreviation (HD2012)","NY","New York"
"State abbreviation (HD2012)","NC","North Carolina"
"State abbreviation (HD2012)","ND","North Dakota"
"State abbreviation (HD2012)","OH","Ohio"
"State abbreviation (HD2012)","OK","Oklahoma"
"State abbreviation (HD2012)","OR","Oregon"
"State abbreviation (HD2012)","PA","Pennsylvania"
"State abbreviation (HD2012)","SC","South Carolina"
"State abbreviation (HD2012)","SD","South Dakota"
"State abbreviation (HD2012)","TN","Tennessee"
"State abbreviation (HD2012)","TX","Texas"
"State abbreviation (HD2012)","UT","Utah"
"State abbreviation (HD2012)","VA","Virginia"
"State abbreviation (HD2012)","WA","Washington"
"State abbreviation (HD2012)","WV","West Virginia"
"State abbreviation (HD2012)","WI","Wisconsin"
"State abbreviation (HD2012)","WY","Wyoming"
"FIPS state code (HD2012)","1","Alabama"
"FIPS state code (HD2012)","4","Arizona"
"FIPS state code (HD2012)","5","Arkansas"
"FIPS state code (HD2012)","6","California"
"FIPS state code (HD2012)","8","Colorado"
"FIPS state code (HD2012)","9","Connecticut"
"FIPS state code (HD2012)","12","Florida"
"FIPS state code (HD2012)","13","Georgia"
"FIPS state code (HD2012)","16","Idaho"
"FIPS state code (HD2012)","17","Illinois"
"FIPS state code (HD2012)","18","Indiana"
"FIPS state code (HD2012)","19","Iowa"
"FIPS state code (HD2012)","20","Kansas"
"FIPS state code (HD2012)","21","Kentucky"
"FIPS state code (HD2012)","22","Louisiana"
"FIPS state code (HD2012)","24","Maryland"
"FIPS state code (HD2012)","25","Massachusetts"
"FIPS state code (HD2012)","26","Michigan"
"FIPS state code (HD2012)","27","Minnesota"
"FIPS state code (HD2012)","28","Mississippi"
"FIPS state code (HD2012)","29","Missouri"
"FIPS state code (HD2012)","31","Nebraska"
"FIPS state code (HD2012)","32","Nevada"
"FIPS state code (HD2012)","33","New Hampshire"
"FIPS state code (HD2012)","34","New Jersey"
"FIPS state code (HD2012)","35","New Mexico"
"FIPS state code (HD2012)","36","New York"
"FIPS state code (HD2012)","37","North Carolina"
"FIPS state code (HD2012)","38","North Dakota"
"FIPS state code (HD2012)","39","Ohio"
"FIPS state code (HD2012)","40","Oklahoma"
"FIPS state code (HD2012)","41","Oregon"
"FIPS state code (HD2012)","42","Pennsylvania"
"FIPS state code (HD2012)","45","South Carolina"
"FIPS state code (HD2012)","46","South Dakota"
"FIPS state code (HD2012)","47","Tennessee"
"FIPS state code (HD2012)","48","Texas"
"FIPS state code (HD2012)","49","Utah"
"FIPS state code (HD2012)","51","Virginia"
"FIPS state code (HD2012)","53","Washington"
"FIPS state code (HD2012)","54","West Virginia"
"FIPS state code (HD2012)","55","Wisconsin"
"FIPS state code (HD2012)","56","Wyoming"
"Sector of institution (HD2012)","1","Public, 4-year or above"
"Sector of institution (HD2012)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2012)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2012_RV)","204","American Southwest Conference"
"NCAA/NAIA conference number football (IC2012_RV)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2012_RV)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2012_RV)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2012_RV)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2012_RV)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2012_RV)","140","Central Intercollegiate Athletic Assoc"
"NCAA/NAIA conference number football (IC2012_RV)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2012_RV)","111","Conference USA"
"NCAA/NAIA conference number football (IC2012_RV)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2012_RV)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2012_RV)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2012_RV)","172","Empire Eight"
"NCAA/NAIA conference number football (IC2012_RV)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2012_RV)","144","Great Lakes Intercollegiate Ath Conf"
"NCAA/NAIA conference number football (IC2012_RV)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2012_RV)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","337","Gulf Coast Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2012_RV)","308","Independent Great Lakes Region"
"NCAA/NAIA conference number football (IC2012_RV)","318","Independent Mid-South Region"
"NCAA/NAIA conference number football (IC2012_RV)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2012_RV)","148","Mid-America Intercollegiate Ath Assoc"
"NCAA/NAIA conference number football (IC2012_RV)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2012_RV)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2012_RV)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2012_RV)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2012_RV)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2012_RV)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2012_RV)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2012_RV)","161","Southern Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2012_RV)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2012_RV)","163","West Virginia Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2012_RV)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","342","Other"
"NCAA/NAIA conference number football (IC2012_RV)","-2","Not applicable"
