"VariableName","Value","ValueLabel"
"State abbreviation (HD2011)","AL","Alabama"
"State abbreviation (HD2011)","AZ","Arizona"
"State abbreviation (HD2011)","AR","Arkansas"
"State abbreviation (HD2011)","CA","California"
"State abbreviation (HD2011)","CO","Colorado"
"State abbreviation (HD2011)","CT","Connecticut"
"State abbreviation (HD2011)","FL","Florida"
"State abbreviation (HD2011)","GA","Georgia"
"State abbreviation (HD2011)","ID","Idaho"
"State abbreviation (HD2011)","IL","Illinois"
"State abbreviation (HD2011)","IN","Indiana"
"State abbreviation (HD2011)","IA","Iowa"
"State abbreviation (HD2011)","KS","Kansas"
"State abbreviation (HD2011)","KY","Kentucky"
"State abbreviation (HD2011)","LA","Louisiana"
"State abbreviation (HD2011)","MD","Maryland"
"State abbreviation (HD2011)","MA","Massachusetts"
"State abbreviation (HD2011)","MI","Michigan"
"State abbreviation (HD2011)","MN","Minnesota"
"State abbreviation (HD2011)","MS","Mississippi"
"State abbreviation (HD2011)","MO","Missouri"
"State abbreviation (HD2011)","NE","Nebraska"
"State abbreviation (HD2011)","NV","Nevada"
"State abbreviation (HD2011)","NH","New Hampshire"
"State abbreviation (HD2011)","NJ","New Jersey"
"State abbreviation (HD2011)","NM","New Mexico"
"State abbreviation (HD2011)","NY","New York"
"State abbreviation (HD2011)","NC","North Carolina"
"State abbreviation (HD2011)","ND","North Dakota"
"State abbreviation (HD2011)","OH","Ohio"
"State abbreviation (HD2011)","OK","Oklahoma"
"State abbreviation (HD2011)","OR","Oregon"
"State abbreviation (HD2011)","PA","Pennsylvania"
"State abbreviation (HD2011)","SC","South Carolina"
"State abbreviation (HD2011)","SD","South Dakota"
"State abbreviation (HD2011)","TN","Tennessee"
"State abbreviation (HD2011)","TX","Texas"
"State abbreviation (HD2011)","UT","Utah"
"State abbreviation (HD2011)","VA","Virginia"
"State abbreviation (HD2011)","WA","Washington"
"State abbreviation (HD2011)","WV","West Virginia"
"State abbreviation (HD2011)","WI","Wisconsin"
"State abbreviation (HD2011)","WY","Wyoming"
"FIPS state code (HD2011)","1","Alabama"
"FIPS state code (HD2011)","4","Arizona"
"FIPS state code (HD2011)","5","Arkansas"
"FIPS state code (HD2011)","6","California"
"FIPS state code (HD2011)","8","Colorado"
"FIPS state code (HD2011)","9","Connecticut"
"FIPS state code (HD2011)","12","Florida"
"FIPS state code (HD2011)","13","Georgia"
"FIPS state code (HD2011)","16","Idaho"
"FIPS state code (HD2011)","17","Illinois"
"FIPS state code (HD2011)","18","Indiana"
"FIPS state code (HD2011)","19","Iowa"
"FIPS state code (HD2011)","20","Kansas"
"FIPS state code (HD2011)","21","Kentucky"
"FIPS state code (HD2011)","22","Louisiana"
"FIPS state code (HD2011)","24","Maryland"
"FIPS state code (HD2011)","25","Massachusetts"
"FIPS state code (HD2011)","26","Michigan"
"FIPS state code (HD2011)","27","Minnesota"
"FIPS state code (HD2011)","28","Mississippi"
"FIPS state code (HD2011)","29","Missouri"
"FIPS state code (HD2011)","31","Nebraska"
"FIPS state code (HD2011)","32","Nevada"
"FIPS state code (HD2011)","33","New Hampshire"
"FIPS state code (HD2011)","34","New Jersey"
"FIPS state code (HD2011)","35","New Mexico"
"FIPS state code (HD2011)","36","New York"
"FIPS state code (HD2011)","37","North Carolina"
"FIPS state code (HD2011)","38","North Dakota"
"FIPS state code (HD2011)","39","Ohio"
"FIPS state code (HD2011)","40","Oklahoma"
"FIPS state code (HD2011)","41","Oregon"
"FIPS state code (HD2011)","42","Pennsylvania"
"FIPS state code (HD2011)","45","South Carolina"
"FIPS state code (HD2011)","46","South Dakota"
"FIPS state code (HD2011)","47","Tennessee"
"FIPS state code (HD2011)","48","Texas"
"FIPS state code (HD2011)","49","Utah"
"FIPS state code (HD2011)","51","Virginia"
"FIPS state code (HD2011)","53","Washington"
"FIPS state code (HD2011)","54","West Virginia"
"FIPS state code (HD2011)","55","Wisconsin"
"FIPS state code (HD2011)","56","Wyoming"
"Sector of institution (HD2011)","1","Public, 4-year or above"
"Sector of institution (HD2011)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2011)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2011_RV)","204","American Southwest Conference"
"NCAA/NAIA conference number football (IC2011_RV)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2011_RV)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2011_RV)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2011_RV)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2011_RV)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2011_RV)","140","Central Intercollegiate Athletic Assoc"
"NCAA/NAIA conference number football (IC2011_RV)","355","Central States Football League"
"NCAA/NAIA conference number football (IC2011_RV)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2011_RV)","111","Conference USA"
"NCAA/NAIA conference number football (IC2011_RV)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2011_RV)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2011_RV)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2011_RV)","172","Empire Eight"
"NCAA/NAIA conference number football (IC2011_RV)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2011_RV)","144","Great Lakes Intercollegiate Ath Conf"
"NCAA/NAIA conference number football (IC2011_RV)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2011_RV)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","337","Gulf Coast Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2011_RV)","308","Independent Great Lakes Region"
"NCAA/NAIA conference number football (IC2011_RV)","318","Independent Mid-South Region"
"NCAA/NAIA conference number football (IC2011_RV)","322","Independent Midwest Region"
"NCAA/NAIA conference number football (IC2011_RV)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2011_RV)","148","Mid-America Intercollegiate Ath Assoc"
"NCAA/NAIA conference number football (IC2011_RV)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2011_RV)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","315","Mid-South Conference"
"NCAA/NAIA conference number football (IC2011_RV)","356","Mid-States Football Association"
"NCAA/NAIA conference number football (IC2011_RV)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2011_RV)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2011_RV)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2011_RV)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","127","Pacific-10 Conference"
"NCAA/NAIA conference number football (IC2011_RV)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2011_RV)","131","Southern Conference"
