"VariableName","Value","ValueLabel"
"State abbreviation (HD2017)","AL","Alabama"
"State abbreviation (HD2017)","AZ","Arizona"
"State abbreviation (HD2017)","AR","Arkansas"
"State abbreviation (HD2017)","CA","California"
"State abbreviation (HD2017)","CO","Colorado"
"State abbreviation (HD2017)","CT","Connecticut"
"State abbreviation (HD2017)","FL","Florida"
"State abbreviation (HD2017)","GA","Georgia"
"State abbreviation (HD2017)","ID","Idaho"
"State abbreviation (HD2017)","IL","Illinois"
"State abbreviation (HD2017)","IN","Indiana"
"State abbreviation (HD2017)","IA","Iowa"
"State abbreviation (HD2017)","KS","Kansas"
"State abbreviation (HD2017)","KY","Kentucky"
"State abbreviation (HD2017)","LA","Louisiana"
"State abbreviation (HD2017)","MD","Maryland"
"State abbreviation (HD2017)","MA","Massachusetts"
"State abbreviation (HD2017)","MI","Michigan"
"State abbreviation (HD2017)","MN","Minnesota"
"State abbreviation (HD2017)","MS","Mississippi"
"State abbreviation (HD2017)","MO","Missouri"
"State abbreviation (HD2017)","NE","Nebraska"
"State abbreviation (HD2017)","NV","Nevada"
"State abbreviation (HD2017)","NH","New Hampshire"
"State abbreviation (HD2017)","NJ","New Jersey"
"State abbreviation (HD2017)","NM","New Mexico"
"State abbreviation (HD2017)","NY","New York"
"State abbreviation (HD2017)","NC","North Carolina"
"State abbreviation (HD2017)","ND","North Dakota"
"State abbreviation (HD2017)","OH","Ohio"
"State abbreviation (HD2017)","OK","Oklahoma"
"State abbreviation (HD2017)","OR","Oregon"
"State abbreviation (HD2017)","PA","Pennsylvania"
"State abbreviation (HD2017)","SC","South Carolina"
"State abbreviation (HD2017)","SD","South Dakota"
"State abbreviation (HD2017)","TN","Tennessee"
"State abbreviation (HD2017)","TX","Texas"
"State abbreviation (HD2017)","UT","Utah"
"State abbreviation (HD2017)","VA","Virginia"
"State abbreviation (HD2017)","WA","Washington"
"State abbreviation (HD2017)","WV","West Virginia"
"State abbreviation (HD2017)","WI","Wisconsin"
"State abbreviation (HD2017)","WY","Wyoming"
"FIPS state code (HD2017)","1","Alabama"
"FIPS state code (HD2017)","4","Arizona"
"FIPS state code (HD2017)","5","Arkansas"
"FIPS state code (HD2017)","6","California"
"FIPS state code (HD2017)","8","Colorado"
"FIPS state code (HD2017)","9","Connecticut"
"FIPS state code (HD2017)","12","Florida"
"FIPS state code (HD2017)","13","Georgia"
"FIPS state code (HD2017)","16","Idaho"
"FIPS state code (HD2017)","17","Illinois"
"FIPS state code (HD2017)","18","Indiana"
"FIPS state code (HD2017)","19","Iowa"
"FIPS state code (HD2017)","20","Kansas"
"FIPS state code (HD2017)","21","Kentucky"
"FIPS state code (HD2017)","22","Louisiana"
"FIPS state code (HD2017)","24","Maryland"
"FIPS state code (HD2017)","25","Massachusetts"
"FIPS state code (HD2017)","26","Michigan"
"FIPS state code (HD2017)","27","Minnesota"
"FIPS state code (HD2017)","28","Mississippi"
"FIPS state code (HD2017)","29","Missouri"
"FIPS state code (HD2017)","31","Nebraska"
"FIPS state code (HD2017)","32","Nevada"
"FIPS state code (HD2017)","33","New Hampshire"
"FIPS state code (HD2017)","34","New Jersey"
"FIPS state code (HD2017)","35","New Mexico"
"FIPS state code (HD2017)","36","New York"
"FIPS state code (HD2017)","37","North Carolina"
"FIPS state code (HD2017)","38","North Dakota"
"FIPS state code (HD2017)","39","Ohio"
"FIPS state code (HD2017)","40","Oklahoma"
"FIPS state code (HD2017)","41","Oregon"
"FIPS state code (HD2017)","42","Pennsylvania"
"FIPS state code (HD2017)","45","South Carolina"
"FIPS state code (HD2017)","46","South Dakota"
"FIPS state code (HD2017)","47","Tennessee"
"FIPS state code (HD2017)","48","Texas"
"FIPS state code (HD2017)","49","Utah"
"FIPS state code (HD2017)","51","Virginia"
"FIPS state code (HD2017)","53","Washington"
"FIPS state code (HD2017)","54","West Virginia"
"FIPS state code (HD2017)","55","Wisconsin"
"FIPS state code (HD2017)","56","Wyoming"
"Sector of institution (HD2017)","1","Public, 4-year or above"
"Sector of institution (HD2017)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2017)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2017)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2017)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2017)","140","Central Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2017)","111","Conference USA"
"NCAA/NAIA conference number football (IC2017)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2017)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2017)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2017)","144","Great Lakes Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","371","Great Midwest Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2017)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2017)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2017)","148","Mid-America Intercollegiate Athletic Association"
"NCAA/NAIA conference number football (IC2017)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2017)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","315","Mid-South Conference"
"NCAA/NAIA conference number football (IC2017)","370","Mountain East Conference"
"NCAA/NAIA conference number football (IC2017)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2017)","187","New Jersey Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2017)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2017)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2017)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","160","South Atlantic Conference"
